quote_id,product,kw,unit_price,qty,subtotal_price,gross_margin_rate,energy_grant_amount,grant_ratio_to_subtotal,competitor_count_available,avg_competitor_price,price_gap_avg_competitor_pct,estimated_gross_profit,is_anomaly,pricing_anomaly_score_0_100,anomaly_direction,anomaly_explanation,success,gross_margin_rate_pct,grant_ratio_to_subtotal_pct
Q-05652,A1,15.0,405000.0,1,405000.0,0.6039,90000,0.2222222222222222,1,170000.0,138.24,244579.5,0,24.49,Normal pricing pattern,No anomaly detected.,0,60.39,22.22
Q-05655,W,11.0,180000.0,1,180000.0,0.1721,66000,0.3666666666666666,0,,,30978.0,0,9.57,Normal pricing pattern,No anomaly detected.,1,17.21,36.67
Q-05666,I1,22.0,468000.0,1,468000.0,0.6551,132000,0.282051282051282,1,240000.0,95.0,306586.80000000005,0,13.09,Normal pricing pattern,No anomaly detected.,0,65.51,28.21
Q-05674,W,11.0,173420.0,1,173420.0,0.1407,66000,0.3805789412985815,0,,,24400.194000000018,0,11.8,Normal pricing pattern,No anomaly detected.,0,14.07,38.06
Q-05703,W,11.0,170000.0,1,170000.0,0.1441,66000,0.388235294117647,0,,,24497.0,0,13.33,Normal pricing pattern,No anomaly detected.,1,14.41,38.82
Q-05706,Q,7.5,145340.0,1,145340.0,-0.0254,45000,0.3096188248245493,1,130000.0,11.8,-3691.635999999999,0,22.39,Normal pricing pattern,No anomaly detected.,1,-2.54,30.96
Q-05707,H1,37.0,422000.0,1,422000.0,0.5643,222000,0.5260663507109005,1,360000.0,17.22,238134.6,0,10.01,Normal pricing pattern,No anomaly detected.,1,56.43,52.61
Q-05711,W,11.0,290000.0,1,290000.0,0.4982999999999999,66000,0.2275862068965517,0,,,144507.0,0,18.1,Normal pricing pattern,No anomaly detected.,0,49.83,22.76
Q-05734,H1,37.0,366120.0,1,366120.0,0.4477,222000,0.6063585709603408,1,360000.0,1.7,163911.924,0,5.6,Normal pricing pattern,No anomaly detected.,0,44.77,60.64
Q-05740,Q,7.5,146900.0,1,146900.0,0.0173,45000,0.3063308373042886,1,130000.0,13.0,2541.369999999996,0,19.52,Normal pricing pattern,No anomaly detected.,0,1.73,30.63
Q-05753,W,11.0,290000.0,1,290000.0,0.4861,66000,0.2275862068965517,0,,,140969.0,0,17.89,Normal pricing pattern,No anomaly detected.,0,48.61,22.76
Q-05772,H1,37.0,372600.0,1,372600.0,0.4585,222000,0.5958132045088567,1,360000.0,3.5,170837.1,0,5.04,Normal pricing pattern,No anomaly detected.,0,45.85,59.58
Q-05773,H1,37.0,372600.0,1,372600.0,0.4585,222000,0.5958132045088567,1,360000.0,3.5,170837.1,0,5.04,Normal pricing pattern,No anomaly detected.,0,45.85,59.58
Q-05776,H1,37.0,393336.0,1,393336.0,0.4871,222000,0.5644029532003173,1,360000.0,9.26,191593.96560000005,0,6.75,Normal pricing pattern,No anomaly detected.,0,48.71,56.44
Q-05782,I1,22.0,264420.0,1,264420.0,0.3903999999999999,132000,0.4992058089403222,1,240000.0,10.18,103229.568,0,0.44,Normal pricing pattern,No anomaly detected.,0,39.04,49.92
Q-05809,H1,37.0,334368.0,1,334368.0,0.3965999999999999,222000,0.663939132931381,1,360000.0,-7.12,132610.34879999998,0,19.85,Normal pricing pattern,No anomaly detected.,1,39.66,66.39
Q-05810,W,11.0,166750.0,1,166750.0,0.1063,66000,0.3958020989505247,0,,,17725.525000000023,0,14.71,Normal pricing pattern,No anomaly detected.,0,10.63,39.58
Q-05813,I1,22.0,285948.0,1,285948.0,0.4354,132000,0.461622392882622,1,240000.0,19.14,124501.7592,0,2.69,Normal pricing pattern,No anomaly detected.,0,43.54,46.16
Q-05821,I1,22.0,284076.0,1,284076.0,0.3584,132000,0.4646643855869556,1,240000.0,18.36,101812.8384,0,2.69,Normal pricing pattern,No anomaly detected.,0,35.84,46.47
Q-05821,J,22.0,293788.0,1,293788.0,0.3584,113520,0.3864010783285906,0,,,105293.61920000002,0,12.77,Normal pricing pattern,No anomaly detected.,0,35.84,38.64
