original_row_index,base_value
2216,-1.3632977278410197
3255,-1.3632977278410197
3708,-1.3632977278410197
3051,-1.3632977278410197
366,-1.3632977278410197
3379,-1.3632977278410197
1801,-1.3632977278410197
3098,-1.3632977278410197
1415,-1.3632977278410197
3094,-1.3632977278410197
3164,-1.3632977278410197
2370,-1.3632977278410197
3949,-1.3632977278410197
1116,-1.3632977278410197
721,-1.3632977278410197
2337,-1.3632977278410197
1332,-1.3632977278410197
837,-1.3632977278410197
4769,-1.3632977278410197
3964,-1.3632977278410197
1582,-1.3632977278410197
2320,-1.3632977278410197
4073,-1.3632977278410197
3662,-1.3632977278410197
3034,-1.3632977278410197
1741,-1.3632977278410197
612,-1.3632977278410197
3384,-1.3632977278410197
2428,-1.3632977278410197
3358,-1.3632977278410197
401,-1.3632977278410197
826,-1.3632977278410197
2079,-1.3632977278410197
788,-1.3632977278410197
4094,-1.3632977278410197
2915,-1.3632977278410197
328,-1.3632977278410197
2211,-1.3632977278410197
4674,-1.3632977278410197
737,-1.3632977278410197
4058,-1.3632977278410197
4225,-1.3632977278410197
3915,-1.3632977278410197
2781,-1.3632977278410197
2136,-1.3632977278410197
2327,-1.3632977278410197
81,-1.3632977278410197
3296,-1.3632977278410197
2213,-1.3632977278410197
3479,-1.3632977278410197
4803,-1.3632977278410197
3922,-1.3632977278410197
1963,-1.3632977278410197
1981,-1.3632977278410197
2451,-1.3632977278410197
1787,-1.3632977278410197
2409,-1.3632977278410197
2329,-1.3632977278410197
2508,-1.3632977278410197
2719,-1.3632977278410197
4505,-1.3632977278410197
1857,-1.3632977278410197
3985,-1.3632977278410197
4061,-1.3632977278410197
3049,-1.3632977278410197
4474,-1.3632977278410197
96,-1.3632977278410197
2700,-1.3632977278410197
478,-1.3632977278410197
1602,-1.3632977278410197
4108,-1.3632977278410197
1725,-1.3632977278410197
3390,-1.3632977278410197
2477,-1.3632977278410197
281,-1.3632977278410197
4135,-1.3632977278410197
4315,-1.3632977278410197
4723,-1.3632977278410197
1858,-1.3632977278410197
4408,-1.3632977278410197
1526,-1.3632977278410197
1271,-1.3632977278410197
4618,-1.3632977278410197
4331,-1.3632977278410197
4525,-1.3632977278410197
1442,-1.3632977278410197
4064,-1.3632977278410197
2735,-1.3632977278410197
1044,-1.3632977278410197
3438,-1.3632977278410197
2474,-1.3632977278410197
3020,-1.3632977278410197
3733,-1.3632977278410197
3558,-1.3632977278410197
2206,-1.3632977278410197
1427,-1.3632977278410197
2608,-1.3632977278410197
4003,-1.3632977278410197
2897,-1.3632977278410197
4563,-1.3632977278410197
1254,-1.3632977278410197
3067,-1.3632977278410197
527,-1.3632977278410197
1387,-1.3632977278410197
1060,-1.3632977278410197
373,-1.3632977278410197
1903,-1.3632977278410197
1737,-1.3632977278410197
3919,-1.3632977278410197
3545,-1.3632977278410197
390,-1.3632977278410197
1872,-1.3632977278410197
2599,-1.3632977278410197
540,-1.3632977278410197
1478,-1.3632977278410197
4624,-1.3632977278410197
1238,-1.3632977278410197
3491,-1.3632977278410197
2101,-1.3632977278410197
306,-1.3632977278410197
1177,-1.3632977278410197
2364,-1.3632977278410197
2411,-1.3632977278410197
2359,-1.3632977278410197
1746,-1.3632977278410197
20,-1.3632977278410197
2929,-1.3632977278410197
3069,-1.3632977278410197
4586,-1.3632977278410197
1548,-1.3632977278410197
4312,-1.3632977278410197
2837,-1.3632977278410197
2262,-1.3632977278410197
2437,-1.3632977278410197
2405,-1.3632977278410197
911,-1.3632977278410197
1518,-1.3632977278410197
2750,-1.3632977278410197
4555,-1.3632977278410197
1937,-1.3632977278410197
4678,-1.3632977278410197
4384,-1.3632977278410197
4270,-1.3632977278410197
4703,-1.3632977278410197
2876,-1.3632977278410197
2862,-1.3632977278410197
1856,-1.3632977278410197
1172,-1.3632977278410197
3544,-1.3632977278410197
1934,-1.3632977278410197
1059,-1.3632977278410197
3463,-1.3632977278410197
2728,-1.3632977278410197
2954,-1.3632977278410197
1677,-1.3632977278410197
1495,-1.3632977278410197
276,-1.3632977278410197
1939,-1.3632977278410197
4552,-1.3632977278410197
3557,-1.3632977278410197
109,-1.3632977278410197
386,-1.3632977278410197
4182,-1.3632977278410197
2770,-1.3632977278410197
779,-1.3632977278410197
4411,-1.3632977278410197
60,-1.3632977278410197
995,-1.3632977278410197
2025,-1.3632977278410197
4040,-1.3632977278410197
1367,-1.3632977278410197
46,-1.3632977278410197
3894,-1.3632977278410197
2147,-1.3632977278410197
3071,-1.3632977278410197
1286,-1.3632977278410197
253,-1.3632977278410197
854,-1.3632977278410197
1531,-1.3632977278410197
2884,-1.3632977278410197
4568,-1.3632977278410197
1001,-1.3632977278410197
4325,-1.3632977278410197
2547,-1.3632977278410197
1274,-1.3632977278410197
1824,-1.3632977278410197
3113,-1.3632977278410197
446,-1.3632977278410197
2363,-1.3632977278410197
4430,-1.3632977278410197
2425,-1.3632977278410197
2271,-1.3632977278410197
4759,-1.3632977278410197
3644,-1.3632977278410197
782,-1.3632977278410197
3999,-1.3632977278410197
4757,-1.3632977278410197
2900,-1.3632977278410197
4498,-1.3632977278410197
2527,-1.3632977278410197
637,-1.3632977278410197
1574,-1.3632977278410197
3930,-1.3632977278410197
3142,-1.3632977278410197
138,-1.3632977278410197
4753,-1.3632977278410197
1994,-1.3632977278410197
4690,-1.3632977278410197
3683,-1.3632977278410197
3756,-1.3632977278410197
2674,-1.3632977278410197
2181,-1.3632977278410197
4611,-1.3632977278410197
192,-1.3632977278410197
3734,-1.3632977278410197
4713,-1.3632977278410197
3361,-1.3632977278410197
1727,-1.3632977278410197
1704,-1.3632977278410197
714,-1.3632977278410197
1829,-1.3632977278410197
1792,-1.3632977278410197
822,-1.3632977278410197
3469,-1.3632977278410197
2422,-1.3632977278410197
7,-1.3632977278410197
1900,-1.3632977278410197
2084,-1.3632977278410197
2331,-1.3632977278410197
2679,-1.3632977278410197
4038,-1.3632977278410197
4055,-1.3632977278410197
999,-1.3632977278410197
3952,-1.3632977278410197
2771,-1.3632977278410197
2135,-1.3632977278410197
2870,-1.3632977278410197
3290,-1.3632977278410197
1807,-1.3632977278410197
3688,-1.3632977278410197
2365,-1.3632977278410197
4432,-1.3632977278410197
3715,-1.3632977278410197
4334,-1.3632977278410197
2894,-1.3632977278410197
149,-1.3632977278410197
2889,-1.3632977278410197
1056,-1.3632977278410197
3311,-1.3632977278410197
4046,-1.3632977278410197
4296,-1.3632977278410197
347,-1.3632977278410197
3018,-1.3632977278410197
230,-1.3632977278410197
2856,-1.3632977278410197
4580,-1.3632977278410197
2073,-1.3632977278410197
2399,-1.3632977278410197
1171,-1.3632977278410197
3852,-1.3632977278410197
1918,-1.3632977278410197
1594,-1.3632977278410197
2525,-1.3632977278410197
3063,-1.3632977278410197
62,-1.3632977278410197
627,-1.3632977278410197
2848,-1.3632977278410197
1102,-1.3632977278410197
1842,-1.3632977278410197
2577,-1.3632977278410197
1581,-1.3632977278410197
2103,-1.3632977278410197
4446,-1.3632977278410197
4655,-1.3632977278410197
4457,-1.3632977278410197
424,-1.3632977278410197
2113,-1.3632977278410197
4076,-1.3632977278410197
1335,-1.3632977278410197
4695,-1.3632977278410197
3064,-1.3632977278410197
4466,-1.3632977278410197
2047,-1.3632977278410197
2891,-1.3632977278410197
1926,-1.3632977278410197
2190,-1.3632977278410197
688,-1.3632977278410197
4368,-1.3632977278410197
1447,-1.3632977278410197
3605,-1.3632977278410197
906,-1.3632977278410197
3237,-1.3632977278410197
1496,-1.3632977278410197
1331,-1.3632977278410197
3260,-1.3632977278410197
2485,-1.3632977278410197
3050,-1.3632977278410197
864,-1.3632977278410197
560,-1.3632977278410197
979,-1.3632977278410197
2687,-1.3632977278410197
798,-1.3632977278410197
1560,-1.3632977278410197
2150,-1.3632977278410197
2178,-1.3632977278410197
2053,-1.3632977278410197
828,-1.3632977278410197
2280,-1.3632977278410197
2351,-1.3632977278410197
1678,-1.3632977278410197
2832,-1.3632977278410197
1191,-1.3632977278410197
4794,-1.3632977278410197
3906,-1.3632977278410197
143,-1.3632977278410197
4428,-1.3632977278410197
3707,-1.3632977278410197
3508,-1.3632977278410197
509,-1.3632977278410197
3903,-1.3632977278410197
493,-1.3632977278410197
4694,-1.3632977278410197
2008,-1.3632977278410197
2193,-1.3632977278410197
4363,-1.3632977278410197
1269,-1.3632977278410197
2909,-1.3632977278410197
1579,-1.3632977278410197
3719,-1.3632977278410197
4214,-1.3632977278410197
2058,-1.3632977278410197
707,-1.3632977278410197
2048,-1.3632977278410197
3156,-1.3632977278410197
1715,-1.3632977278410197
2007,-1.3632977278410197
2987,-1.3632977278410197
767,-1.3632977278410197
1315,-1.3632977278410197
1252,-1.3632977278410197
1600,-1.3632977278410197
2209,-1.3632977278410197
2733,-1.3632977278410197
2638,-1.3632977278410197
2952,-1.3632977278410197
2382,-1.3632977278410197
900,-1.3632977278410197
4443,-1.3632977278410197
2306,-1.3632977278410197
3663,-1.3632977278410197
703,-1.3632977278410197
1848,-1.3632977278410197
1230,-1.3632977278410197
4612,-1.3632977278410197
3241,-1.3632977278410197
2219,-1.3632977278410197
